Iteration #,Au seeds [Anish],HCl (uL) [Anish],ascorbic acid (uL) [Anish],silver (uL) [Anish],temperature [Anish],loss parameter,[aucl]/[ag],[hcl]/[aucl],[aa]/[aucl]
1,49.4,558,235,183,38,12.2,2.73224043715847,111.6,4.7
2,10.2,867,477,113,34,11.98,4.42477876106195,173.4,9.54
3,35,431,359,256,36,10.38,1.953125,86.2,7.18
4,36,146,407,137,37,8.46,3.64963503649635,29.2,8.14
5,22,186,395,153,34,10.6,3.26797385620915,37.2,7.9
6,43,337,188,123,38,11.34,4.0650406504065,67.4,3.76
7,26,249,222,229,36,9.95,2.18340611353712,49.8,4.44
8,18,152,217,210,38,10.82,2.38095238095238,30.4,4.34
9,38,166,416,128,37,7.69,3.90625,33.2,8.32
10,40,203,435,117,36,6.96,4.27350427350427,40.6,8.7
11,39,232,446,127,35,7.81,3.93700787401575,46.4,8.92
12,40,234,444,106,35,6.98,4.71698113207547,46.8,8.88
