Iteration #,ascorbic acid [anish-making-sc-rods],au seeds [anish-making-sc-rods],hcl [anish-making-sc-rods],silver [anish-making-sc-rods],temperature [anish-making-sc-rods],loss,[aucl]/[ag],[hcl]/[aucl],[aa]/[aucl]
1,470,36,943,321,40,10.37,1.55763239875389,188.6,9.4
2,315,23,997,339,32,10.89,1.47492625368732,199.4,6.3
3,438,37,878,232,38,10.57,2.1551724137931,175.6,8.76
4,180,30,922,292,38,13.3,1.71232876712329,184.4,3.6
5,477,43,886,357,34,10.39,1.40056022408964,177.2,9.54
6,391,27,922,292,38,10.28,1.71232876712329,184.4,7.82
7,371,28,953,283,37,14.22,1.76678445229682,190.6,7.42
8,480,43,617,334,39,10.24,1.49700598802395,123.4,9.6
9,490,41,907,317,35,10.48,1.57728706624606,181.4,9.8
10,480,39,987,230,36,11.4,2.17391304347826,197.4,9.6
11,491,41,656,332,40,10.21,1.50602409638554,131.2,9.82
12,482,41,698,326,39,9.96,1.53374233128834,139.6,9.64
13,449,29,894,343,38,10.08,1.45772594752187,178.8,8.98
14,473,42,676,314,39,10.22,1.59235668789809,135.2,9.46
15,489,39,670,339,38,10.36,1.47492625368732,134,9.78
16,497,39,737,340,38,10.25,1.47058823529412,147.4,9.94
17,496,41,740,323,39,10.25,1.54798761609907,148,9.92
18,486,41,722,321,39,10.28,1.55763239875389,144.4,9.72
19,495,42,729,327,39,10.26,1.52905198776758,145.8,9.9
20,481,16,677,300,26,10.92,1.66666666666667,135.4,9.62
