temp,silver,Asc-acid,hcl,seeds,loss
40,321,470,943,36,10.37
32,339,315,997,23,10.89
38,232,438,878,37,10.57
38,292,180,922,30,13.3
34,357,477,886,43,10.39
38,292,391,922,27,10.28
37,283,371,953,28,14.22
39,334,480,617,43,10.24
35,317,490,907,41,10.48
36,230,480,987,39,11.4
40,332,491,656,41,10.21
39,326,482,698,41,9.96
38,343,449,894,29,10.08
39,314,473,676,42,10.22
38,339,489,670,39,10.36
38,340,497,737,39,10.25
39,323,496,740,41,10.25
39,321,486,722,41,10.28
39,327,495,729,42,10.26
26,300,481,677,16,10.92
