hcl,silver,Asc-acid,Z-lspr,Z-rati,loss,Z-merit,temp,seeds
850,195,215,971,0.58,12.45,0.842612468,27,24
712,440,167,847,0.4852,10.19,0.913763341,27,24
269,335,288,776,0.8059,11.11,0.673066242,27,24
281,380,484,749,0.671,11.08,0.774313634,27,24
488,126,391,843,1.128,8.67,0.431318393,27,24
716,407,238,824,0.542669,10.08,0.870630751,27,24
330,159,322,826,1.138,10.91,0.423813026,27,24
300,183,100,986,0.401657875,11.44,0.976464766,27,24
1000,500,335,819,0.3703,10.28,1,27,24
323,100,350,808,3.665,6.66,0,27,24
286,100,342,808,3.636,6.74,0.010882781,27,24
