seeds,hcl,Asc-acid,silver,temp,loss
24,850,215,195,27,12.45
24,712,167,440,27,10.19
24,269,288,335,27,11.11
24,281,484,380,27,11
24,488,391,126,27,8.67
24,716,238,407,27,10.08
24,330,322,159,27,10.91
24,300,100,183,27,11.44
24,1000,335,500,27,10.28
24,323,350,100,27,6.66
24,286,342,100,27,6.74
49.4,558,235,183,38,12.2
10.2,867,477,113,34,11.98
35,431,359,256,36,10.38
36,146,407,137,37,8.46
22,186,395,153,34,10.6
43,337,188,123,38,11.34
26,249,222,229,36,9.95
18,152,217,210,38,10.82
38,166,416,128,37,7.69
40,203,435,117,36,6.96
39,232,446,127,35,7.81
40,234,444,106,35,6.98
34,208,476,108,35,6.94
25,443,485,108,38,7.57
34,193,492,122,36,7.18
33,234,478,104,35,6.94
34,236,477,118,34,6.76
32,207,480,104,34,6.63
31,236,464,100,34,6.65
30,229,490,100,33,7.02
47,764,470,299,40,9.83
45,870,477,352,34,9.81
37,470,468,104,38,7.84
47,929,499,199,37,10.1
31,648,481,162,39,10.09
38,428,453,112,38,8.76
48,815,329,175,36,10.65
36,446,463,112,38,8.95
38,503,452,100,39,7.58
39,527,460,100,39,7.83
49,748,395,103,40,11.95
36,542,434,101,39,8.11
36,702,481,139,26,12.4
36,516,466,112,40,10.38
40,555,482,103,37,8.26
37,512,468,101,40,8.02
11,403,245,174,38,10.38
39,506,469,102,39,8.46
30,207,306,280,30,10.84
26,450,111,124,26,13.04
36,943,470,321,40,10.37
23,997,315,339,32,10.89
37,878,438,232,38,10.57
30,822,180,292,38,13.3
43,886,477,357,34,10.39
27,922,391,292,38,10.28
28,953,371,283,37,14.22
43,617,480,334,39,10.24
41,907,490,317,35,10.48
39,987,480,230,36,11.4
41,656,491,332,40,10.21
41,698,482,326,39,9.96
29,894,449,343,38,10.08
42,676,473,314,39,10.22
39,670,489,339,38,10.36
39,737,497,340,38,10.25
41,740,496,323,39,10.25
41,722,486,321,39,10.28
42,729,495,327,39,10.26
15,677,481,300,26,10.92
41,974,100,301,38,12.44
47,989,474,361,37,9.93
47,637,446,349,34,9.92
48,980,350,242,38,10.69
46,663,433,338,34,10.16
49,363,461,344,35,10.03
45,594,462,352,34,10.04
49,884,439,397,33,9.94
48,673,436,339,35,9.9
47,668,451,351,36,9.91
48,672,439,350,35,9.93
48,665,451,328,35,9.92
48,708,445,336,34,9.9
47,654,456,333,35,9.97
47,630,434,326,35,9.97
50,714,434,328,35,9.84
50,695,427,320,36,9.85
50,743,426,315,35,9.88
50,752,421,330,35,9.9
50,753,448,318,34,10.01
12,885,361,385,28,10.03
17,743,456,342,40,10.04
12,981,166,359,34,11.07
15,296,352,398,39,10.78
12,570,396,313,37,10.09
22,604,454,310,37,9.99
17,890,290,372,34,9.81
13,869,398,390,37,9.92
18,929,309,380,33,10
22,929,337,352,38,9.77
18,890,290,371,34,10.14
17,911,351,362,37,9.88
20,941,340,339,37,9.85
18,864,329,364,40,9.67
24,40,100,120,27,6.33
24,60,100,120,27,6.05
24,80,100,120,27,6.34
24,100,100,120,27,7.39
24,450,100,120,27,9.73
24,160,100,120,27,10.19
24,190,100,120,27,10.7
