Au seeds [Anish],HCl (uL) [Anish],ascorbic acid (uL) [Anish],silver (uL) [Anish],temperature [Anish],loss parameter
24,850,215,195,27,12.45
24,712,167,440,27,10.19
24,269,288,335,27,11.11
24,281,484,380,27,11
24,488,391,126,27,8.67
24,716,238,407,27,10.08
24,330,322,159,27,10.91
24,300,100,183,27,11.44
24,1000,335,500,27,10.28
24,323,350,100,27,6.66
24,286,342,100,27,6.74
49.4,558,235,183,38,12.2
10.2,867,477,113,34,11.98
35,431,359,256,36,10.38
36,146,407,137,37,8.46
22,186,395,153,34,10.6
43,337,188,123,38,11.34
26,249,222,229,36,9.95
18,152,217,210,38,10.82
38,166,416,128,37,7.69
40,203,435,117,36,6.96
39,232,446,127,35,7.81
40,234,444,106,35,6.98
34,208,476,108,35,6.94
25,443,485,108,38,7.57
34,193,492,122,36,7.18
33,234,478,104,35,6.94
34,236,477,118,34,6.76
32,207,480,104,34,6.63
31,236,464,100,34,6.65
30,229,490,100,33,7.02
47,764,470,299,40,9.83
45,870,477,352,34,9.81
37,470,468,104,38,7.84
47,929,499,199,37,10.1
31,648,481,162,39,10.09
38,428,453,112,38,8.76
48,815,329,175,36,10.65
36,446,463,112,38,8.95
38,503,452,100,39,7.58
39,527,460,100,39,7.83
49,748,395,103,40,11.95
36,542,434,101,39,8.11
36,702,481,139,26,12.4
36,516,466,112,40,10.38
40,555,482,103,37,8.26
37,512,468,101,40,8.02
11,403,245,174,38,10.38
39,506,469,102,39,8.46
30,207,306,280,30,10.84
26,450,111,124,26,13.04
