,seeds,hcl,Asc-acid,silver,temp,loss
9,24.0,323,350,100,27,6.66
10,24.0,286,342,100,27,6.74
19,38.0,166,416,128,37,7.69
20,40.0,203,435,117,36,6.96
21,39.0,232,446,127,35,7.81
22,40.0,234,444,106,35,6.98
23,34.0,208,476,108,35,6.94
24,25.0,443,485,108,38,7.57
25,34.0,193,492,122,36,7.18
26,33.0,234,478,104,35,6.94
27,34.0,236,477,118,34,6.76
28,32.0,207,480,104,34,6.63
29,31.0,236,464,100,34,6.65
30,30.0,229,490,100,33,7.02
33,37.0,470,468,104,38,7.84
39,38.0,503,452,100,39,7.58
40,39.0,527,460,100,39,7.83
105,24.0,40,100,120,27,6.33
106,24.0,60,100,120,27,6.05
107,24.0,80,100,120,27,6.34
108,24.0,100,100,120,27,7.39
